Joints,X,Y,Z
Degree,13.53401,13.53401,13.53401
SpineBase,-0.207941,-0.2367428,-2.298138
SpineMid,-0.2125651,0.08720291,-2.375818
Neck,-0.2157413,0.3996736,-2.439553
Head,-0.2535043,0.5383092,-2.459033
ShoulderLeft,-0.0399815,0.2895527,-2.376757
ElbowLeft,0.1059379,0.08530106,-2.343565
WristLeft,0.1862257,-0.07402637,-2.241363
HandLeft,0.2090653,-0.1484219,-2.193656
ShoulderRight,-0.4148714,0.260333,-2.380895
ElbowRight,-0.4629254,0.03272493,-2.360708
WristRight,-0.4182027,-0.1757056,-2.186713
HandRight,-0.3983177,-0.210899,-2.162667
HipLeft,-0.1253333,-0.2288734,-2.259796
KneeLeft,-0.08780717,-0.6551184,-2.189153
AnkleLeft,-0.07101461,-1.003085,-2.105883
FootLeft,-0.03494816,-1.04022,-1.959162
HipRight,-0.283218,-0.2367018,-2.257554
KneeRight,-0.3180678,-0.660529,-2.175918
AnkleRight,-0.320183,-0.999914,-2.095183
FootRight,-0.3086958,-1.029285,-1.944826
SpineShoulder,-0.215149,0.3230106,-2.426093
HandTipLeft,0.2198649,-0.2208475,-2.158219
ThumbLeft,0.1618577,-0.142467,-2.142248
HandTipRight,-0.3796155,-0.2560924,-2.147462
ThumbRight,-0.3602042,-0.1830148,-2.168056
